Air Quality Station EoI Code,Year,NO2,O3,PM10,PM2_5,Altitude,Latitude,Longitude,Station_Type,Station_Area,City,Green_Ratio,Population_Density
IT0499A,2017,,,16.388,10.642,640.0,46.6195,10.8591,Background,Urban,Laces/Latsch,0.9777300638651666,67.0
IT0499A,2018,,,16.121,10.56,640.0,46.6195,10.8591,Background,Urban,Laces/Latsch,0.9777300638651666,67.0
IT0499A,2019,,,13.075,9.31,640.0,46.6195,10.8591,Background,Urban,Laces/Latsch,0.9777300638651666,67.0
IT0499A,2020,,,14.97,10.193,640.0,46.6195,10.8591,Background,Urban,Laces/Latsch,0.9777300638651666,67.0
IT0499A,2021,,,14.969,10.528,640.0,46.6195,10.8591,Background,Urban,Laces/Latsch,0.9777300638651666,67.0
IT0499A,2022,,,16.201,10.999,640.0,46.6195,10.8591,Background,Urban,Laces/Latsch,0.9777300638651666,67.0
IT0499A,2023,,,14.019,10.043,640.0,46.6195,10.8591,Background,Urban,Laces/Latsch,0.9777300638651666,67.0
IT0499A,2024,,,13.447,9.233,640.0,46.6195,10.8591,Background,Urban,Laces/Latsch,0.9777300638651666,67.0
IT0591A,2015,24.625,,19.0,14.0,200.0,45.8924,11.0394,Background,Urban,Rovereto,0.8070927097072179,776.0
IT0591A,2016,23.636,,17.0,13.0,200.0,45.8924,11.0394,Background,Urban,Rovereto,0.8070927097072179,776.0
IT0591A,2017,26.25,,18.0,13.0,200.0,45.8924,11.0394,Background,Urban,Rovereto,0.8070927097072179,776.0
IT0591A,2018,23.708,,18.0,13.0,200.0,45.8924,11.0394,Background,Urban,Rovereto,0.8070927097072179,776.0
IT0591A,2019,21.75,,15.0,11.0,200.0,45.8924,11.0394,Background,Urban,Rovereto,0.8070927097072179,776.0
IT0591A,2020,16.061,,15.0,12.0,200.0,45.8924,11.0394,Background,Urban,Rovereto,0.8070927097072179,776.0
IT0591A,2021,17.512,,15.17,11.5,200.0,45.8924,11.0394,Background,Urban,Rovereto,0.8070927097072179,776.0
IT0591A,2022,17.053,,17.4,12.38,200.0,45.8924,11.0394,Background,Urban,Rovereto,0.8070927097072179,776.0
IT0591A,2023,15.926,,15.51,11.84,200.0,45.8924,11.0394,Background,Urban,Rovereto,0.8070927097072179,776.0
IT0591A,2024,15.995,,15.46,11.66,200.0,45.8924,11.0394,Background,Urban,Rovereto,0.8070927097072179,776.0
IT0594A,2015,36.909,,30.664,18.391,149.0,45.5408,10.2236,Traffic,Urban,Brescia,0.4874106108838972,2177.0
IT0594A,2016,36.001,,27.049,17.032,149.0,45.5408,10.2236,Traffic,Urban,Brescia,0.4874106108838972,2177.0
IT0594A,2017,39.438,,29.39,17.952,149.0,45.5408,10.2236,Traffic,Urban,Brescia,0.4874106108838972,2177.0
IT0594A,2018,32.359,,28.629,16.936,149.0,45.5408,10.2236,Traffic,Urban,Brescia,0.4874106108838972,2177.0
IT0594A,2019,31.2,,24.999,14.459,149.0,45.5408,10.2236,Traffic,Urban,Brescia,0.4874106108838972,2177.0
IT0594A,2020,23.281,,22.996,14.421,149.0,45.5408,10.2236,Traffic,Urban,Brescia,0.4874106108838972,2177.0
IT0594A,2021,25.893,,24.595,13.071,149.0,45.5408,10.2236,Traffic,Urban,Brescia,0.4874106108838972,2177.0
IT0594A,2022,23.856,,27.627,13.211,149.0,45.5408,10.2236,Traffic,Urban,Brescia,0.4874106108838972,2177.0
IT0594A,2023,23.68,,23.604,11.941,149.0,45.5408,10.2236,Traffic,Urban,Brescia,0.4874106108838972,2177.0
IT0594A,2024,29.308,,21.889,10.713,149.0,45.5408,10.2236,Traffic,Urban,Brescia,0.4874106108838972,2177.0
IT0614A,2015,12.766,,20.5,11.7,35.0,37.1561,15.1909,Background,Urban,Priolo Gargallo,0.7496742652980837,194.0
IT0614A,2016,12.225,,19.9,9.6,35.0,37.1561,15.1909,Background,Urban,Priolo Gargallo,0.7496742652980837,194.0
IT0614A,2017,13.221,,19.8,12.4,35.0,37.1561,15.1909,Background,Urban,Priolo Gargallo,0.7496742652980837,194.0
IT0614A,2018,11.53,,18.6,10.7,35.0,37.1561,15.1909,Background,Urban,Priolo Gargallo,0.7496742652980837,194.0
IT0614A,2019,11.127,,19.4,10.6,35.0,37.1561,15.1909,Background,Urban,Priolo Gargallo,0.7496742652980837,194.0
