eoi_code,city,lat,lon,openaq_found,openaq_id,openaq_name
IT1533A,Vercelli,45.3284,8.4151,1,8399.0,Vercelli - Gastaldi
IT1536A,La Spezia,44.116,9.8439,3,221601.0,IT1456A
IT1544A,La Spezia,44.1067,9.8577,1,221602.0,FOSSAMASTRA - LA SPEZIA
IT1549A,Campomorone,44.5186,8.8738,1,221513.0,CAMPORA - CAMPOMORONE
IT1553A,Montale,43.9161,11.0069,1,8397.0,PT-MONTALE
IT1557A,Livorno,43.52,10.3217,1,8396.0,LI-CAPPIELLO
IT1560A,Livorno,43.5547,10.3297,1,8395.0,LI-CARDUCCI
IT1575A,Portoscuso,39.1772,8.4303,0,,
IT1576A,Portoscuso,39.2033,8.3861,0,,
IT1578A,Pesaro,43.8933,12.9189,1,8393.0,VIA SCARPELLINI
IT1582A,Casale Monferrato,45.1361,8.4452,1,1953581.0,Casale M.to - Castello
IT1587A,Gorizia,45.9369,13.6164,1,2163021.0,Gorizia - via Duca D'Aosta 117
IT1588A,Varese,45.8169,8.8203,1,8222.0,VARESE - VIA COPELLI
IT1590A,Treviso,45.6725,12.2386,1,8389.0,TV - Via Lancieri di Novara
IT1593A,Grosseto,42.7786,11.1192,1,8388.0,GR-URSS
IT1594A,Belluno,46.1414,12.2169,1,8387.0,BL - Parco Città di Bologna
IT1596A,Mansuè,45.8369,12.5103,1,8386.0,MANSUE'
IT1606A,Bari,41.1136,16.8881,1,8599.0,Caldarola
IT1609A,Taranto,40.5211,17.2536,1,2162927.0,Taranto CISI
IT1611A,Taranto,40.4886,17.2258,0,,
IT1613A,Taranto,40.4606,17.2633,1,2162930.0,taranto ADIGE
IT1618A,Brindisi,40.6342,17.9478,3,8613.0,brindisi VIA DEI MILLE
IT1619A,Feltre,46.0308,11.9058,1,8381.0,AREA FELTRINA
IT1621A,Bari,41.1233,16.8733,1,8066.0,CAVOUR
IT1650A,Milano (greater city),45.6269,9.0242,1,8361.0,SARONNO - SANTUARIO
IT1654A,Prato,43.8728,11.0919,1,8360.0,PO-ROMA
IT1658A,Torchiarolo,40.4881,18.0536,2,8606.0,TORCHIAROLO
IT1660A,Taranto,40.4944,17.2331,0,,
IT1665A,Lecce,40.4589,18.1161,1,8378.0,LECCE - S. M. Cerrate
IT1666A,Campi Salentina,40.4044,18.0297,1,8609.0,Campi Salentina
IT1681A,Chitignano,43.6603,11.9017,1,8353.0,AR-CASA-STABBI
IT1692A,Milano (greater city),45.4783,9.2358,1,8352.0,MILANO PASCAL CITT� STUDI
IT1696A,Laives/Leifers,46.4348,11.3401,2,7651.0,IT1696A
IT1698A,Genova,44.4049,8.9682,2,221510.0,IT1698A
IT1702A,Brindisi,40.6508,17.9436,2,8382.0,IT1618A
IT1706A,Savona,44.3131,8.4773,-1,,
IT1728A,Terni,42.5522,12.6517,2,8304.0,CARRARA
IT1737A,Brescia,45.5153,10.2194,1,8327.0,BRESCIA VILLAGGIO SERENO
IT1739A,Cremona,45.1422,10.0458,1,8089.0,CREMONA VIA FATEBENEFRATELLI
IT1740A,Melfi,41.0671,15.7227,1,8182.0,San Nicola di Melfi
IT1743A,Milano (greater city),45.5811,9.2744,1,8321.0,MONZA - VIA  MACHIAVELLI
IT1745A,Spoleto,42.7447,12.7133,0,,
IT1771A,Modena,44.6506,10.9063,2,7623.0,PARCO FERRARI
IT1773A,Genga,43.4681,12.9522,1,8232.0,Genga -Parco Gola della Rossa
IT1788A,Ivrea,45.4512,7.878,1,8372.0,Ivrea - Liberazione
IT1795A,Macerata,43.285,13.4286,1,8370.0,Macerata COLLEVARIO
IT1796A,Civitanova Marche,43.3356,13.6747,1,8233.0,Civitanova IPPODROMO S. MARONE
IT1798A,Campobasso,41.5542,14.6747,1,7660.0,CAMPOBASSO3
IT1800A,Termoli,42.0011,14.9936,1,7839.0,TERMOLI2
IT1801A,Termoli,41.9981,14.9933,1,7839.0,TERMOLI2
IT1804A,Venafro,41.4842,14.0472,0,,
IT1812A,Moggio,45.9131,9.4969,1,8369.0,MOGGIO
IT1817A,Monopoli,40.9567,17.2903,2,8616.0,MONOPOLI
IT1818A,Altamura,40.8278,16.5603,1,8617.0,ALTAMURA
IT1822A,Andria,41.2317,16.2917,1,8618.0,ANDRIA
IT1823A,Casamassima,40.9533,16.9197,1,8619.0,CASAMASSIMA
IT1826A,Lecco,45.8494,9.3958,1,8058.0,LECCO VIA AMENDOLA
IT1827A,Ancona,43.6117,13.5086,1,8367.0,Ancona Cittadella
IT1830A,Alessandria,44.9203,8.6232,1,8366.0,Alessandria - Volta
IT1836A,Roma,41.9064,12.4476,2,7561.0,CIPRO
IT1842A,Montemonaco,42.9006,13.3367,1,8548.0,MONTEMONACO
IT1843A,Ascoli Piceno,42.8486,13.6194,1,8546.0,MONTICELLI
IT1856A,L'Aquila,42.3642,13.3831,1,7790.0,AQ - Amiternum
IT1860A,Spoleto,42.7397,12.7372,1,8206.0,Piazza Vittoria
