split,model,MAE,RMSE,R2
time,RF_A,4.384798208136111,10.467598678079142,0.28906097480565107
spatial,RF_A,3.858498905606994,6.0016643300137895,0.4744012671139044
time,Ridge_C,6.039247652159711,11.7683375881838,0.10139576034579312
spatial,Ridge_C,4.903617473867286,7.016555660737493,0.2816123540659319
