split,model,MAE,RMSE,R2
time,RF_A,4.4901736519646205,10.610221189715665,0.2695557034760233
spatial,RF_A,3.7723581961780175,5.6789899822839995,0.5293987125856363
time,XGBoost_A,4.189990027771794,10.246715575365174,0.31874831449089036
spatial,XGBoost_A,3.8689913086502057,5.805623916917206,0.5081771476883359
