model,avg_RMSE,avg_MAE,avg_R2
RandomForest_B,7.602708879394613,3.6049860518736185,0.4807477611169007
RF_A,8.234631504046465,4.121648556871552,0.38173112095977774
Ridge_C,9.392446624460646,5.471432563013499,0.1915040572058625
