Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2KA21","Klagenfurt Völkermarkter Straße","SPO.02.KA21.2216.10.1","CO","Carbon monoxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2016","0.360","mg/m3","99.18","1","Traffic","Urban","14.3181","46.6256","445.0","Klagenfurt                                                                      ","AT006C1                                           ","96640","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.02.KA21.2216.10.1.parquet","hour"
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2KA21","Klagenfurt Völkermarkter Straße","SPO.02.KA21.55784.5.1","PM10","Particulate matter < 10 µm (aerosol)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2016","18.793","ug/m3","100.00","1","Traffic","Urban","14.3181","46.6256","445.0","Klagenfurt                                                                      ","AT006C1                                           ","96640","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.02.KA21.55784.5.1.parquet","hour"
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2KA21","Klagenfurt Völkermarkter Straße","SPO.02.KA21.64523.6001.1","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2016","11.957","ug/m3","100.00","1","Traffic","Urban","14.3181","46.6256","445.0","Klagenfurt                                                                      ","AT006C1                                           ","96640","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.02.KA21.64523.6001.1.parquet","hour"
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2KA21","Klagenfurt Völkermarkter Straße","SPO.02.KA21.4062.20.1","C6H6","Benzene (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2016","0.912","ug/m3","98.36","1","Traffic","Urban","14.3181","46.6256","445.0","Klagenfurt                                                                      ","AT006C1                                           ","96640","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.02.KA21.4062.20.1.parquet","hour"
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2KA21","Klagenfurt Völkermarkter Straße","SPO.02.KA21.1878.8.1","NO2","Nitrogen dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2016","28.073","ug/m3","99.45","1","Traffic","Urban","14.3181","46.6256","445.0","Klagenfurt                                                                      ","AT006C1                                           ","96640","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.02.KA21.1878.8.1.parquet","hour"
"Austria","NET.05","Amt der Salzburger Landesregierung","AT51000","Salzburg Rudolfsplatz","SPO.05.1000.4566.5.1","PM10","Particulate matter < 10 µm (aerosol)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2016","17.746","ug/m3","96.17","1","Traffic","Urban","13.0533","47.7974","425.0","Salzburg                                                                        ","AT004C1                                           ","146631","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.05.1000.4566.5.1.parquet","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30401","Gänserndorf Baumschulweg","SPO.03.0401.1180.38.1","NO","Nitrogen monoxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2016","0.895","ug/m3","100.00","1","Background","Rural","16.7294","48.3347","161.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.03.0401.1180.38.1.parquet","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT31204","Pöchlarn","SPO.03.1204.3770.38.1","NO","Nitrogen monoxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2016","3.340","ug/m3","100.00","1","Background","Rural","15.2050","48.2128","216.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.03.1204.3770.38.1.parquet","hour"
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2SP10","Obervellach Schulzentrum","SPO.02.SP10.1598.9.1","NOX as NO2","Nitrogen oxides (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2016","11.314","ug/m3","100.00","1","Background","Rural","13.1945","46.9350","686.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.02.SP10.1598.9.1.parquet","hour"
"Austria","NET.01","Amt der Burgenländischen Landesregierung","AT10003","Kittsee","SPO.01.0003.15.38.1","NO","Nitrogen monoxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2016","1.298","ug/m3","99.73","1","Background","Rural","17.0703","48.1092","136.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.01.0003.15.38.1.parquet","hour"
