Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2KA21","Klagenfurt Völkermarkter Straße","SPO.02.KA21.4062.20.1","C6H6","Benzene (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2023","0.302","ug/m3","99.45","1","Traffic","Urban","14.3181","46.6256","445.0","Klagenfurt                                                                      ","AT006C1                                           ","96640","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.02.KA21.4062.20.1.parquet","hour"
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2KA21","Klagenfurt Völkermarkter Straße","SPO.02.KA21.55784.5.1","PM10","Particulate matter < 10 µm (aerosol)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2023","17.729","ug/m3","100.00","1","Traffic","Urban","14.3181","46.6256","445.0","Klagenfurt                                                                      ","AT006C1                                           ","96640","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.02.KA21.55784.5.1.parquet","hour"
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2KA21","Klagenfurt Völkermarkter Straße","SPO.02.KA21.1878.8.1","NO2","Nitrogen dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2023","18.569","ug/m3","98.08","1","Traffic","Urban","14.3181","46.6256","445.0","Klagenfurt                                                                      ","AT006C1                                           ","96640","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.02.KA21.1878.8.1.parquet","hour"
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2KA21","Klagenfurt Völkermarkter Straße","SPO.02.KA21.2216.10.1","CO","Carbon monoxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2023","0.278","mg/m3","94.79","1","Traffic","Urban","14.3181","46.6256","445.0","Klagenfurt                                                                      ","AT006C1                                           ","96640","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.02.KA21.2216.10.1.parquet","hour"
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2KA21","Klagenfurt Völkermarkter Straße","SPO.02.KA21.64523.6001.1","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2023","10.312","ug/m3","99.73","1","Traffic","Urban","14.3181","46.6256","445.0","Klagenfurt                                                                      ","AT006C1                                           ","96640","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.02.KA21.64523.6001.1.parquet","hour"
"Austria","NET.04","Amt der Oberösterreichischen Landesregierung","AT4S431","Linz Römerberg B139","SPO.04.S431.3728.10.1","CO","Carbon monoxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2023","0.297","mg/m3","99.18","1","Traffic","Urban","14.2822","48.3030","262.0","Linz                                                                            ","AT003C1                                           ","193814","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.04.S431.3728.10.1.parquet","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30401","Gänserndorf Baumschulweg","SPO.03.0401.1181.8.1","NO2","Nitrogen dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2023","7.009","ug/m3","100.00","1","Background","Rural","16.7294","48.3347","161.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.03.0401.1181.8.1.parquet","hour"
"Austria","NET.01","Amt der Burgenländischen Landesregierung","AT10003","Kittsee","SPO.01.0003.3903.5.1","PM10","Particulate matter < 10 µm (aerosol)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2023","14.677","ug/m3","98.36","1","Industrial","Rural","17.0703","48.1092","136.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.01.0003.3903.5.1.parquet","hour"
"Austria","NET.01","Amt der Burgenländischen Landesregierung","AT12002","Oberwart B63a","SPO.01.0006.68635.5.1","PM10","Particulate matter < 10 µm (aerosol)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2023","19.520","ug/m3","43.01","1","Traffic","Suburban","16.2207","47.2784","308.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.01.0006.68635.5.1.parquet","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30599","Klosterneuburg B14","SPO.03.0599.56151.5.1","PM10","Particulate matter < 10 µm (aerosol)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2023","15.063","ug/m3","100.00","1","Traffic","Suburban","16.3280","48.3083","170.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.03.0599.56151.5.1.parquet","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30202","Forsthof am Schöpfl","SPO.03.0202.1211.8.1","NO2","Nitrogen dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2023","3.850","ug/m3","96.99","1","Background","Rural","15.9189","48.1051","581.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.03.0202.1211.8.1.parquet","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30403","Wolkersdorf","SPO.03.0403.1176.8.1","NO2","Nitrogen dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2023","7.699","ug/m3","100.00","1","Background","Rural","16.5220","48.3929","260.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.03.0403.1176.8.1.parquet","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30101","Amstetten","SPO.03.0101.1627.8.1","NO2","Nitrogen dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2023","13.486","ug/m3","100.00","1","Background","Suburban","14.8788","48.1199","270.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.03.0101.1627.8.1.parquet","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30601","Klosterneuburg Meynertgasse","SPO.03.0601.934.7.1","O3","Ozone (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2023","64.825","ug/m3","100.00","1","Background","Suburban","16.3139","48.3025","260.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.03.0601.934.7.1.parquet","hour"
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2M805","Kraiger Berg bei St. Veit an der Glan","SPO.02.M805.68255.7.1","O3","Ozone (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2023","71.922","ug/m3","96.71","1","Background","Rural","14.3301","46.8252","1070.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.02.M805.68255.7.1.parquet","hour"
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2SP18","Spittal a. d. Drau Oktoberstraße","SPO.02.SP18.898.7.1","O3","Ozone (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2023","39.047","ug/m3","95.89","1","Background","Suburban","13.4939","46.8014","560.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/AT/SPO.02.SP18.898.7.1.parquet","hour"
