split,model,MAE,RMSE,R2
time,Ridge,4.805271851765079,10.496525953667906,0.28512617634284
time,RandomForest,4.450732425296778,10.760361998094147,0.24873701575886975
spatial,Ridge,4.283879270975625,6.125955278359327,0.45240616543326895
spatial,RandomForest,2.879850207612337,4.696501540103068,0.678145308540967
