Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"France","NET-FR004A","AIRPARIF","FR04002","GENNEVILLIERS","SPO-FR04002_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2018","18.975","ug/m3","92.88","1","Background","Urban","2.2944","48.9303","28.0","Paris (greater city)                                                            ","FR001C1                                           ","9845879","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR04002_5.parquet","hour"
"France","NET-FR004A","AIRPARIF","FR04048","Zone Rurale Nord","SPO-FR04048_7","O3","Ozone (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2018","62.229","ug/m3","99.45","1","Background","Rural","2.3439","49.1003","140.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR04048_7.parquet","hour"
"France","NET-FR004A","AIRPARIF","FR04004","PARIS 18eme","SPO-FR04004_5","PM10","Particulate matter < 10 µm (aerosol)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2018","19.408","ug/m3","92.88","1","Background","Urban","2.3467","48.8917","60.0","Paris (greater city)                                                            ","FR001C1                                           ","9845879","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR04004_5.parquet","hour"
"France","NET-FR004A","AIRPARIF","FR04031","Av Champs Elysees","SPO-FR04031_8","NO2","Nitrogen dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2018","44.704","ug/m3","97.26","1","Traffic","Urban","2.3112","48.8688","34.0","Paris (greater city)                                                            ","FR001C1                                           ","9845879","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR04031_8.parquet","hour"
"France","NET-FR004A","AIRPARIF","FR04014","PARIS 12eme","SPO-FR04014_8","NO2","Nitrogen dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2018","31.874","ug/m3","93.70","1","Background","Urban","2.3939","48.8372","40.0","Paris (greater city)                                                            ","FR001C1                                           ","9845879","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR04014_8.parquet","hour"
"France","NET-FR004A","AIRPARIF","FR04048","Zone Rurale Nord","SPO-FR04048_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2018","7.963","ug/m3","96.71","1","Background","Rural","2.3439","49.1003","140.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR04048_6001.parquet","hour"
"France","NET-FR004A","AIRPARIF","FR04038","Zone Rurale SO","SPO-FR04038_38","NO","Nitrogen monoxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2018","0.125","ug/m3","99.45","1","Background","Rural","1.8833","48.5819","152.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR04038_38.parquet","hour"
"France","NET-FR004A","AIRPARIF","FR04038","Zone Rurale SO","SPO-FR04038_7","O3","Ozone (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2018","59.854","ug/m3","99.73","1","Background","Rural","1.8833","48.5819","152.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR04038_7.parquet","hour"
"France","NET-FR004A","AIRPARIF","FR04038","Zone Rurale SO","SPO-FR04038_8","NO2","Nitrogen dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2018","7.642","ug/m3","99.45","1","Background","Rural","1.8833","48.5819","152.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR04038_8.parquet","hour"
"France","NET-FR004A","AIRPARIF","FR04029","VERSAILLES","SPO-FR04029_38","NO","Nitrogen monoxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2018","1.592","ug/m3","99.45","1","Background","Suburban","2.1306","48.7992","125.0","Paris (greater city)                                                            ","FR001C1                                           ","9845879","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/FR/SPO-FR04029_38.parquet","hour"
