eoi_code,Year,Month,Temp_Mean,Wind_Speed,Precipitation
IT1975A,2020,1,3.8451612903225807,6.132258064516129,31.3
IT1975A,2020,2,7.7379310344827585,8.710344827586207,6.5
IT1975A,2020,3,8.509677419354839,8.97741935483871,90.6
IT1975A,2020,4,14.156666666666666,7.59,22.6
IT1975A,2020,5,19.190322580645162,9.225806451612904,64.3
IT1975A,2020,6,21.623333333333335,6.783333333333333,113.3
IT1975A,2020,7,25.11935483870968,7.877419354838709,68.7
IT1975A,2020,8,25.212903225806453,6.983870967741935,119.39999999999999
IT1975A,2020,9,20.696666666666665,6.963333333333334,56.9
IT1975A,2020,10,12.90967741935484,6.532258064516129,158.9
IT1975A,2020,11,9.05,5.1,18.0
IT1975A,2020,12,3.9935483870967743,6.341935483870968,249.5
IT1975A,2021,1,1.8193548387096774,7.467741935483871,109.3
IT1975A,2021,2,6.917857142857143,7.817857142857143,45.0
IT1975A,2021,3,8.580645161290322,7.970967741935484,7.3999999999999995
IT1975A,2021,4,11.396666666666667,8.770000000000001,70.8
IT1975A,2021,5,16.138709677419357,9.158064516129032,78.6
IT1975A,2021,6,24.063333333333333,6.943333333333333,21.700000000000003
IT1975A,2021,7,25.26774193548387,7.438709677419355,57.3
IT1975A,2021,8,23.96451612903226,7.554838709677419,46.6
IT1975A,2021,9,20.583333333333332,6.930000000000001,57.0
IT1975A,2021,10,12.94516129032258,6.854838709677419,49.9
IT1975A,2021,11,8.2,7.733333333333333,188.3
IT1975A,2021,12,2.9645161290322584,6.729032258064516,44.1
IT1975A,2022,1,3.254838709677419,7.490322580645161,27.6
IT1975A,2022,2,6.535714285714286,8.496428571428572,30.200000000000003
IT1975A,2022,3,7.754838709677419,7.803225806451613,10.5
IT1975A,2022,4,12.293333333333333,8.846666666666666,38.2
IT1975A,2022,5,19.403225806451612,7.887096774193548,73.2
IT1975A,2022,6,24.526666666666664,7.64,76.5
IT1975A,2022,7,27.896774193548385,8.858064516129033,11.200000000000001
IT1975A,2022,8,25.345161290322583,8.129032258064516,110.4
IT1975A,2022,9,19.523333333333333,7.213333333333334,66.60000000000001
IT1975A,2022,10,17.019354838709678,5.925806451612903,25.200000000000003
IT1975A,2022,11,9.629999999999999,6.553333333333333,89.2
IT1975A,2022,12,5.570967741935484,6.096774193548387,106.10000000000001
IT1975A,2023,1,4.751612903225807,7.32258064516129,71.7
IT1975A,2023,2,5.925,8.514285714285714,13.2
IT1975A,2023,3,10.490322580645161,8.109677419354838,24.599999999999998
IT1975A,2023,4,12.74,9.17,96.80000000000001
IT1975A,2023,5,17.01290322580645,8.745161290322581,149.2
IT1975A,2023,6,23.346666666666668,7.510000000000001,68.6
IT1975A,2023,7,25.10967741935484,6.590322580645162,72.3
IT1975A,2023,8,25.825806451612905,8.293548387096775,48.8
IT1975A,2023,9,21.696666666666665,6.566666666666666,28.3
IT1975A,2023,10,17.325806451612905,7.280645161290322,139.1
IT1975A,2023,11,8.246666666666666,8.003333333333334,82.60000000000001
IT1975A,2023,12,5.364516129032259,6.719354838709678,45.8
IT1975A,2024,1,3.448387096774194,6.887096774193548,63.800000000000004
IT1975A,2024,2,7.889655172413794,6.355172413793104,150.2
IT1975A,2024,3,10.167741935483871,8.654838709677419,187.0
IT1975A,2024,4,12.933333333333334,8.583333333333334,120.8
IT1975A,2024,5,16.448387096774194,6.890322580645161,269.0
IT1975A,2024,6,20.77,5.903333333333333,173.3
IT1975A,2024,7,25.193548387096776,6.009677419354839,25.7
IT1975A,2024,8,26.174193548387095,5.929032258064517,48.6
IT1975A,2024,9,19.040000000000003,7.996666666666667,119.3
IT1975A,2024,10,15.280645161290321,7.612903225806452,204.6
IT1975A,2024,11,7.9366666666666665,5.536666666666666,6.5
IT1975A,2024,12,3.8774193548387097,5.035483870967742,57.0
IT1975A,2025,1,4.248387096774193,5.035483870967742,64.9
IT1975A,2025,2,5.614285714285714,5.053571428571429,56.5
IT1975A,2025,3,9.519354838709678,6.254838709677419,103.0
IT1975A,2025,4,13.606666666666666,7.283333333333333,74.5
IT1975A,2025,5,16.932258064516127,6.251612903225807,111.3
IT1975A,2025,6,24.636666666666667,5.930000000000001,32.1
IT1975A,2025,7,24.200000000000003,6.290322580645161,60.9
IT1975A,2025,8,24.103225806451615,6.719354838709678,148.9
IT1975A,2025,9,19.253333333333334,4.86,76.2
IT1975A,2025,10,13.851612903225806,5.870967741935484,53.4
IT1975A,2025,11,8.036666666666667,5.513333333333334,78.2
IT1975A,2025,12,6.1,5.83225806451613,100.6
IT2250A,2020,1,9.087096774193547,9.038709677419355,38.4
IT2250A,2020,2,10.903448275862068,11.848275862068967,12.2
IT2250A,2020,3,10.964516129032257,12.235483870967743,68.9
IT2250A,2020,4,13.646666666666667,9.693333333333333,71.5
IT2250A,2020,5,18.5,11.506451612903225,34.0
IT2250A,2020,6,20.80666666666667,10.770000000000001,61.4
IT2250A,2020,7,24.93548387096774,9.561290322580644,4.9
IT2250A,2020,8,25.729032258064517,11.003225806451614,53.2
IT2250A,2020,9,21.886666666666667,9.403333333333334,105.5
IT2250A,2020,10,16.174193548387095,11.85483870967742,142.70000000000002
IT2250A,2020,11,13.69,10.123333333333333,66.9
IT2250A,2020,12,10.293548387096775,12.270967741935483,166.5
IT2250A,2021,1,8.319354838709677,14.535483870967743,158.5
IT2250A,2021,2,10.157142857142857,11.517857142857142,59.7
IT2250A,2021,3,10.306451612903226,11.248387096774193,90.8
IT2250A,2021,4,12.246666666666666,11.063333333333333,90.2
IT2250A,2021,5,16.47741935483871,11.183870967741935,31.0
IT2250A,2021,6,22.09333333333333,7.4366666666666665,38.2
IT2250A,2021,7,24.82903225806452,11.041935483870969,8.5
IT2250A,2021,8,25.083870967741937,9.709677419354838,19.4
IT2250A,2021,9,22.473333333333336,8.97,19.200000000000003
IT2250A,2021,10,16.700000000000003,12.683870967741935,71.1
IT2250A,2021,11,13.879999999999999,12.416666666666666,279.4
IT2250A,2021,12,9.948387096774193,12.535483870967743,109.3
IT2250A,2022,1,8.135483870967741,11.825806451612904,16.8
IT2250A,2022,2,10.007142857142856,12.442857142857141,37.0
IT2250A,2022,3,9.94516129032258,12.241935483870968,38.7
IT2250A,2022,4,13.096666666666666,12.833333333333334,54.9
IT2250A,2022,5,19.161290322580644,9.874193548387098,24.5
IT2250A,2022,6,24.493333333333332,10.153333333333334,3.4
IT2250A,2022,7,26.45483870967742,9.706451612903225,6.8
IT2250A,2022,8,25.951612903225808,10.009677419354839,53.0
IT2250A,2022,9,21.633333333333333,12.21,204.20000000000002
IT2250A,2022,10,19.03548387096774,8.003225806451614,5.4
IT2250A,2022,11,14.0,11.646666666666668,141.7
IT2250A,2022,12,12.035483870967743,10.464516129032257,151.7
IT2250A,2023,1,9.358064516129033,13.16451612903226,107.8
IT2250A,2023,2,8.632142857142856,10.514285714285714,57.7
IT2250A,2023,3,11.861290322580645,11.648387096774194,78.2
IT2250A,2023,4,12.983333333333333,11.553333333333335,56.0
IT2250A,2023,5,17.770967741935483,8.496774193548386,112.5
IT2250A,2023,6,22.42,8.426666666666668,100.4
IT2250A,2023,7,26.383870967741935,10.019354838709678,7.0
IT2250A,2023,8,24.938709677419357,10.248387096774193,34.5
IT2250A,2023,9,22.676666666666666,9.99,32.1
IT2250A,2023,10,20.12258064516129,12.02258064516129,123.60000000000001
IT2250A,2023,11,14.463333333333333,13.933333333333334,90.3
IT2250A,2023,12,11.003225806451614,10.919354838709678,29.9
IT2250A,2024,1,10.01290322580645,11.3,66.7
IT2250A,2024,2,11.03793103448276,11.53793103448276,123.1
IT2250A,2024,3,12.225806451612904,12.319354838709677,129.7
IT2250A,2024,4,14.520000000000001,10.42,26.599999999999998
IT2250A,2024,5,17.783870967741933,10.448387096774193,100.1
IT2250A,2024,6,22.006666666666668,10.013333333333332,35.7
IT2250A,2024,7,26.45483870967742,9.46774193548387,14.9
IT2250A,2024,8,27.296774193548387,8.712903225806452,20.7
IT2250A,2024,9,21.396666666666665,10.7,134.1
IT2250A,2024,10,18.206451612903226,9.593548387096773,276.6
IT2250A,2024,11,13.436666666666667,10.47,14.9
IT2250A,2024,12,8.758064516129032,11.680645161290323,94.5
IT2250A,2025,1,10.206451612903225,14.803225806451612,76.1
IT2250A,2025,2,9.799999999999999,9.796428571428573,125.39999999999999
IT2250A,2025,3,11.754838709677419,11.306451612903226,171.0
IT2250A,2025,4,14.17,11.066666666666666,98.7
IT2250A,2025,5,17.57741935483871,9.693548387096774,77.8
IT2250A,2025,6,24.790000000000003,8.676666666666668,4.5
IT2250A,2025,7,25.364516129032257,10.761290322580646,18.8
IT2250A,2025,8,25.403225806451612,9.254838709677419,35.3
IT2250A,2025,9,21.67,8.603333333333333,116.7
IT2250A,2025,10,16.703225806451613,11.161290322580646,76.1
IT2250A,2025,11,12.543333333333333,9.463333333333333,82.7
IT2250A,2025,12,9.899999999999999,7.890322580645161,127.9
IT2254A,2020,1,9.087096774193547,9.038709677419355,38.4
IT2254A,2020,2,10.903448275862068,11.848275862068967,12.2
IT2254A,2020,3,10.964516129032257,12.235483870967743,68.9
IT2254A,2020,4,13.646666666666667,9.693333333333333,71.5
IT2254A,2020,5,18.5,11.506451612903225,34.0
IT2254A,2020,6,20.80666666666667,10.770000000000001,61.4
IT2254A,2020,7,24.93548387096774,9.561290322580644,4.9
IT2254A,2020,8,25.729032258064517,11.003225806451614,53.2
IT2254A,2020,9,21.886666666666667,9.403333333333334,105.5
IT2254A,2020,10,16.174193548387095,11.85483870967742,142.70000000000002
IT2254A,2020,11,13.69,10.123333333333333,66.9
IT2254A,2020,12,10.293548387096775,12.270967741935483,166.5
IT2254A,2021,1,8.319354838709677,14.535483870967743,158.5
